,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,season,h2h_open_price_home,h2h_open_datetime_home,h2h_open_implied_probability_home,h2h_close_price_home,h2h_close_datetime_home,h2h_close_implied_probability_home,h2h_open_price_away,h2h_open_datetime_away,h2h_open_implied_probability_away,h2h_close_price_away,h2h_close_datetime_away,h2h_close_implied_probability_away,totals_open_point,totals_open_price_over,totals_open_datetime_over,totals_open_implied_probability_over,totals_close_point,totals_close_price_over,totals_close_datetime_over,totals_close_implied_probability_over,totals_open_price_under,totals_open_datetime_under,totals_open_implied_probability_under,totals_close_price_under,totals_close_datetime_under,totals_close_implied_probability_under
3502,717736,2023-06-17 00:10:00+00:00,6/16/23,R,Final,Los Angeles Angels,Kansas City Royals,108,118,N,1,Brady Singer,Patrick Sandoval,,,3,0,9,Bottom,7,Kauffman Stadium,[],LAA leads 1-0,2023-06-16 - Los Angeles Angels (3) @ Kansas City Royals (0) (Final),Los Angeles Angels,Kansas City Royals,Patrick Sandoval,Brady Singer,Sam Bachman,2023,132,2023-06-15 23:25:02.222222336+00:00,0.431,130,2023-06-16 23:55:01.666666752+00:00,0.4348,-155,2023-06-15 23:25:02.222222336+00:00,0.6078,-152,2023-06-16 23:55:01.666666752+00:00,0.6032,9.5,-107,2023-06-15 23:58:44.058823424+00:00,0.5169,9,-117,2023-06-16 23:55:12.235293952+00:00,0.5392,-113,2023-06-15 23:58:44.058823424+00:00,0.5305,-105,2023-06-16 23:55:12.235293952+00:00,0.5122
3503,717738,2023-06-17 00:10:00+00:00,6/16/23,R,Final,Detroit Tigers,Minnesota Twins,116,142,N,1,Joe Ryan,Will Vest,,,7,1,9,Bottom,3312,Target Field,[],DET leads 2-0,2023-06-16 - Detroit Tigers (7) @ Minnesota Twins (1) (Final),Detroit Tigers,Minnesota Twins,Mason Englert,Joe Ryan,,2023,-253,2023-06-16 19:51:09.166666752+00:00,0.7167,-250,2023-06-16 23:55:01.666666752+00:00,0.7143,210,2023-06-16 19:51:09.166666752+00:00,0.3226,210,2023-06-16 23:55:01.666666752+00:00,0.3226,8,-105,2023-06-16 19:22:53.294117632+00:00,0.5122,8,-108,2023-06-16 23:55:12.235293952+00:00,0.5192,-115,2023-06-16 19:22:53.294117632+00:00,0.5349,-112,2023-06-16 23:55:12.235293952+00:00,0.5283
3504,717740,2023-06-17 00:10:00+00:00,6/16/23,R,Final,Pittsburgh Pirates,Milwaukee Brewers,134,158,N,1,Julio Teheran,Rich Hill,,,4,5,9,Top,32,American Family Field,['Apple TV+'],MIL leads 1-0,2023-06-16 - Pittsburgh Pirates (4) @ Milwaukee Brewers (5) (Final),Milwaukee Brewers,Pittsburgh Pirates,Julio Teheran,Rich Hill,Devin Williams,2023,-119,2023-06-16 05:04:45.555555328+00:00,0.5434,-115,2023-06-16 23:55:01.666666752+00:00,0.5349,102,2023-06-16 05:04:45.555555328+00:00,0.495,-103,2023-06-16 23:55:01.666666752+00:00,0.5074,9,-105,2023-06-16 05:16:09.647058688+00:00,0.5122,8.5,-115,2023-06-16 23:55:12.235293952+00:00,0.5349,-115,2023-06-16 05:16:09.647058688+00:00,0.5349,-105,2023-06-16 23:55:12.235293952+00:00,0.5122
3505,717739,2023-06-17 01:40:00+00:00,6/16/23,R,Final,Cleveland Guardians,Arizona Diamondbacks,114,109,N,1,Zac Gallen,Touki Toussaint,,,1,5,9,Top,15,Chase Field,[],AZ leads 1-0,2023-06-16 - Cleveland Guardians (1) @ Arizona Diamondbacks (5) (Final),Arizona Diamondbacks,Cleveland Guardians,Zac Gallen,Touki Toussaint,,2023,-145,2023-06-15 23:25:02.222222336+00:00,0.5918,-185,2023-06-17 00:55:01.555555328+00:00,0.6491,121,2023-06-15 23:25:02.222222336+00:00,0.4525,158,2023-06-17 00:55:01.555555328+00:00,0.3876,8,-112,2023-06-15 23:48:08.411764736+00:00,0.5283,8.5,-120,2023-06-17 00:47:41.588235264+00:00,0.5455,-105,2023-06-15 23:48:08.411764736+00:00,0.5122,-103,2023-06-17 00:47:41.588235264+00:00,0.5074
3506,717732,2023-06-17 01:40:00+00:00,6/16/23,R,Final,Tampa Bay Rays,San Diego Padres,139,135,N,1,Yu Darvish,Shane McClanahan,,,6,2,9,Bottom,2680,Petco Park,[],TB leads 1-0,2023-06-16 - Tampa Bay Rays (6) @ San Diego Padres (2) (Final),Tampa Bay Rays,San Diego Padres,Shane McClanahan,Yu Darvish,Pete Fairbanks,2023,-105,2023-06-15 23:51:35.611111168+00:00,0.5122,-111,2023-06-17 00:55:01.555555328+00:00,0.5261,-114,2023-06-15 23:51:35.611111168+00:00,0.5327,-106,2023-06-17 00:55:01.555555328+00:00,0.5146,7.5,-102,2023-06-16 00:16:15.529411840+00:00,0.505,7.5,-117,2023-06-16 23:26:55.470588160+00:00,0.5392,-120,2023-06-16 00:16:15.529411840+00:00,0.5455,-104,2023-06-16 23:26:55.470588160+00:00,0.5098
3507,717735,2023-06-17 01:40:00+00:00,6/16/23,R,Final,Philadelphia Phillies,Oakland Athletics,143,133,N,1,JP Sears,Taijuan Walker,,,6,1,9,Bottom,10,Oakland Coliseum,[],PHI leads 1-0,2023-06-16 - Philadelphia Phillies (6) @ Oakland Athletics (1) (Final),Philadelphia Phillies,Oakland Athletics,Taijuan Walker,JP Sears,,2023,130,2023-06-15 23:51:35.611111168+00:00,0.4348,117,2023-06-17 00:55:01.555555328+00:00,0.4608,-155,2023-06-15 23:51:35.611111168+00:00,0.6078,-136,2023-06-17 00:55:01.555555328+00:00,0.5763,8.5,-110,2023-06-16 00:16:15.529411840+00:00,0.5238,8.5,-110,2023-06-17 00:55:10.764705792+00:00,0.5238,-110,2023-06-16 00:16:15.529411840+00:00,0.5238,-110,2023-06-17 00:55:10.764705792+00:00,0.5238
3508,717731,2023-06-17 02:10:00+00:00,6/16/23,R,Final,San Francisco Giants,Los Angeles Dodgers,137,119,N,1,Emmet Sheehan,John Brebbia,,,7,5,11,Bottom,22,Dodger Stadium,[],SF leads 1-0,2023-06-16 - San Francisco Giants (7) @ Los Angeles Dodgers (5) (Final),San Francisco Giants,Los Angeles Dodgers,Taylor Rogers,Alex Vesia,Jakob Junis,2023,-142,2023-06-16 17:54:48.722222080+00:00,0.5868,-131,2023-06-17 01:54:45.222222336+00:00,0.5671,120,2023-06-16 17:54:48.722222080+00:00,0.4545,113,2023-06-17 01:54:45.222222336+00:00,0.4695,8.5,-116,2023-06-16 17:55:08+00:00,0.537,8.5,-115,2023-06-17 01:25:09.687500032+00:00,0.5349,-104,2023-06-16 17:55:08+00:00,0.5098,-105,2023-06-17 01:25:09.687500032+00:00,0.5122
3509,717733,2023-06-17 02:10:00+00:00,6/16/23,R,Final,Chicago White Sox,Seattle Mariners,145,136,N,1,Bryan Woo,Michael Kopech,,,2,3,9,Top,680,T-Mobile Park,['Apple TV+'],SEA leads 1-0,2023-06-16 - Chicago White Sox (2) @ Seattle Mariners (3) (Final),Seattle Mariners,Chicago White Sox,Matt Brash,Tanner Banks,Paul Sewald,2023,-129,2023-06-16 00:24:40.500000+00:00,0.5633,-135,2023-06-17 01:54:45.222222336+00:00,0.5745,109,2023-06-16 00:24:40.500000+00:00,0.4785,115,2023-06-17 01:54:45.222222336+00:00,0.4651,8,-114,2023-06-16 01:05:26.882352896+00:00,0.5327,7,-117,2023-06-17 01:55:09.705882368+00:00,0.5392,-105,2023-06-16 01:05:26.882352896+00:00,0.5122,-105,2023-06-17 01:55:09.705882368+00:00,0.5122
3510,717728,2023-06-17 18:10:00+00:00,6/17/23,R,Final,Detroit Tigers,Minnesota Twins,116,142,N,1,José De León,Joey Wentz,,,0,2,9,Top,3312,Target Field,[],DET leads 2-1,2023-06-17 - Detroit Tigers (0) @ Minnesota Twins (2) (Final),Minnesota Twins,Detroit Tigers,Brent Headrick,Joey Wentz,Jhoan Duran,2023,-183,2023-06-17 17:54:53.555555328+00:00,0.6466,-183,2023-06-17 17:54:53.555555328+00:00,0.6466,157,2023-06-17 17:54:53.555555328+00:00,0.3891,157,2023-06-17 17:54:53.555555328+00:00,0.3891,9,-110,2023-06-17 17:55:13.176470528+00:00,0.5238,9,-110,2023-06-17 17:55:13.176470528+00:00,0.5238,-110,2023-06-17 17:55:13.176470528+00:00,0.5238,-110,2023-06-17 17:55:13.176470528+00:00,0.5238
3511,717729,2023-06-17 18:20:00+00:00,6/17/23,R,Final,Baltimore Orioles,Chicago Cubs,110,112,N,1,Justin Steele,Kyle Gibson,,,2,3,9,Top,17,Wrigley Field,['MLBN (out-of-market only)'],CHC wins 2-0,2023-06-17 - Baltimore Orioles (2) @ Chicago Cubs (3) (Final),Chicago Cubs,Baltimore Orioles,Justin Steele,Kyle Gibson,Adbert Alzolay,2023,-130,2023-06-17 01:28:00.277777664+00:00,0.5652,-138,2023-06-17 17:54:53.555555328+00:00,0.5798,110,2023-06-17 01:28:00.277777664+00:00,0.4762,117,2023-06-17 17:54:53.555555328+00:00,0.4608,8,-105,2023-06-17 08:12:49.470588416+00:00,0.5122,8,-112,2023-06-17 17:55:13.176470528+00:00,0.5283,-115,2023-06-17 08:12:49.470588416+00:00,0.5349,-107,2023-06-17 17:55:13.176470528+00:00,0.5169
3512,717723,2023-06-17 20:05:00+00:00,6/17/23,R,Final,Toronto Blue Jays,Texas Rangers,141,140,N,1,Dane Dunning,Trevor Richards,,,2,4,9,Top,5325,Globe Life Field,[],Series tied 1-1,2023-06-17 - Toronto Blue Jays (2) @ Texas Rangers (4) (Final),Texas Rangers,Toronto Blue Jays,Dane Dunning,Trevor Richards,Will Smith,2023,-113,2023-06-17 17:54:52.941176576+00:00,0.5305,-110,2023-06-17 19:55:12.117647104+00:00,0.5238,-104,2023-06-17 17:54:52.941176576+00:00,0.5098,-105,2023-06-17 19:55:12.117647104+00:00,0.5122,9,-120,2023-06-17 18:02:17.235294208+00:00,0.5455,9,-115,2023-06-17 19:55:12.294117632+00:00,0.5349,100,2023-06-17 18:02:17.235294208+00:00,0.5,-105,2023-06-17 19:55:12.294117632+00:00,0.5122
3513,717734,2023-06-17 20:05:00+00:00,6/17/23,R,Final,Miami Marlins,Washington Nationals,146,120,N,1,Jake Irvin,Braxton Garrett,,,5,2,9,Bottom,3309,Nationals Park,[],MIA wins 2-0,2023-06-17 - Miami Marlins (5) @ Washington Nationals (2) (Final),Miami Marlins,Washington Nationals,Braxton Garrett,Chad Kuhl,A.J. Puk,2023,135,2023-06-16 22:57:53.555555584+00:00,0.4255,145,2023-06-17 19:55:12.166666752+00:00,0.4082,-159,2023-06-16 22:57:53.555555584+00:00,0.6139,-170,2023-06-17 19:55:12.166666752+00:00,0.6296,9,-110,2023-06-16 23:19:52.176470528+00:00,0.5238,9,-111,2023-06-17 19:55:12.294117632+00:00,0.5261,-108,2023-06-16 23:19:52.176470528+00:00,0.5192,-106,2023-06-17 19:55:12.294117632+00:00,0.5146
3514,717725,2023-06-17 20:07:00+00:00,6/17/23,R,Final,Philadelphia Phillies,Oakland Athletics,143,133,N,1,James Kaprielian,Cristopher Sánchez,,,3,2,12,Bottom,10,Oakland Coliseum,[],PHI wins 2-0,2023-06-17 - Philadelphia Phillies (3) @ Oakland Athletics (2) (Final),Philadelphia Phillies,Oakland Athletics,Andrew Vasquez,Ken Waldichuk,Jeff Hoffman,2023,151,2023-06-17 11:54:56+00:00,0.3984,150,2023-06-17 19:55:12.166666752+00:00,0.4,-176,2023-06-17 11:54:56+00:00,0.6377,-178,2023-06-17 19:55:12.166666752+00:00,0.6403,9,-105,2023-06-17 10:35:55+00:00,0.5122,9.5,100,2023-06-17 19:55:12.249999872+00:00,0.5,-115,2023-06-17 10:35:55+00:00,0.5349,-120,2023-06-17 19:55:12.249999872+00:00,0.5455
3515,717727,2023-06-17 20:10:00+00:00,6/17/23,R,Final,Cincinnati Reds,Houston Astros,113,117,N,1,Brandon Bielak,Hunter Greene,,,10,3,9,Bottom,2392,Minute Maid Park,[],CIN wins 2-0,2023-06-17 - Cincinnati Reds (10) @ Houston Astros (3) (Final),Cincinnati Reds,Houston Astros,Hunter Greene,Brandon Bielak,,2023,-135,2023-06-16 22:57:53.555555584+00:00,0.5745,-120,2023-06-17 19:15:11.444444416+00:00,0.5455,113,2023-06-16 22:57:53.555555584+00:00,0.4695,103,2023-06-17 19:15:11.444444416+00:00,0.4926,8.5,-106,2023-06-16 23:19:52.176470528+00:00,0.5146,8.5,-107,2023-06-17 19:55:12.294117632+00:00,0.5169,-110,2023-06-16 23:19:52.176470528+00:00,0.5238,-113,2023-06-17 19:55:12.294117632+00:00,0.5305
3516,717726,2023-06-17 20:10:00+00:00,6/17/23,R,Final,Los Angeles Angels,Kansas City Royals,108,118,N,1,Mike Mayers,Griffin Canning,,,9,10,9,Bottom,7,Kauffman Stadium,['FS1'],Series tied 1-1,2023-06-17 - Los Angeles Angels (9) @ Kansas City Royals (10) (Final),Kansas City Royals,Los Angeles Angels,Aroldis Chapman,Chris Devenski,,2023,137,2023-06-17 17:54:53.555555328+00:00,0.4219,140,2023-06-17 19:55:12.166666752+00:00,0.4167,-161,2023-06-17 17:54:53.555555328+00:00,0.6169,-165,2023-06-17 19:55:12.166666752+00:00,0.6226,10,-110,2023-06-17 17:55:13.176470528+00:00,0.5238,10,-110,2023-06-17 19:55:12.294117632+00:00,0.5238,-109,2023-06-17 17:55:13.176470528+00:00,0.5215,-110,2023-06-17 19:55:12.294117632+00:00,0.5238
